Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Frame,Aux1
394813222,SMP,1,104.00,94.00,3.78,110.00,96.00,4.40,342.74,455.76,424.47,459.06,523.97,285.68,36.39,-0.55,-23.40,-27.78,-1.12,-22.22,0.03,-0.24,0.97,0.16,-0.03,0.99,00:00:00:01,
394829548,SMP,1,103.00,92.00,3.78,110.00,94.00,4.38,341.31,459.75,423.16,462.45,522.66,289.63,36.39,-0.55,-23.40,-27.78,-1.12,-22.22,0.03,-0.25,0.97,0.16,-0.04,0.99,00:00:00:01,
394846272,SMP,1,104.00,94.00,3.80,112.00,96.00,4.40,339.32,462.40,421.44,465.28,520.23,293.42,36.39,-0.55,-23.40,-27.78,-1.12,-22.21,0.03,-0.25,0.97,0.17,-0.04,0.99,00:00:00:02,
394862807,SMP,1,104.00,95.00,3.80,110.00,96.00,4.42,334.92,468.05,418.86,470.00,516.30,297.58,36.39,-0.55,-23.40,-27.78,-1.13,-22.21,0.03,-0.25,0.97,0.17,-0.05,0.98,00:00:00:03,
394879744,SMP,1,104.00,94.00,3.80,112.00,96.00,4.40,332.15,472.68,415.88,474.40,513.57,303.69,36.38,-0.55,-23.40,-27.78,-1.13,-22.21,0.04,-0.26,0.97,0.17,-0.05,0.98,00:00:00:03,
394896178,SMP,1,104.00,96.00,3.82,110.00,98.00,4.42,327.81,473.45,412.42,476.91,507.57,308.10,36.38,-0.55,-23.40,-27.78,-1.13,-22.21,0.04,-0.26,0.96,0.18,-0.06,0.98,00:00:00:04,
394912854,SMP,1,104.00,97.00,3.82,110.00,98.00,4.40,330.05,482.34,413.39,483.09,510.95,314.28,36.38,-0.55,-23.40,-27.79,-1.13,-22.20,0.04,-0.27,0.96,0.18,-0.07,0.98,00:00:00:04,
394929431,SMP,1,79.00,94.00,3.60,68.00,96.00,4.48,402.89,452.83,466.09,464.71,560.55,306.18,36.38,-0.55,-23.40,-27.79,-1.13,-22.20,-0.02,-0.25,0.97,0.12,-0.06,0.99,00:00:00:05,
394946049,SMP,1,94.00,90.00,3.66,94.00,92.00,4.22,556.90,443.52,560.91,427.60,706.20,266.63,36.38,-0.55,-23.40,-27.79,-1.13,-22.20,-0.13,-0.21,0.97,-0.04,-0.01,1.00,00:00:00:05,
394962672,SMP,1,95.00,88.00,3.78,96.00,90.00,4.30,658.32,272.86,651.41,399.08,825.02,233.24,36.38,-0.55,-23.40,-27.79,-1.13,-22.20,-0.23,-0.17,0.96,-0.16,0.03,0.99,00:00:00:06,
394979346,SMP,1,100.00,89.00,3.94,102.00,92.00,4.42,814.17,400.70,719.23,381.89,892.51,215.14,36.38,-0.55,-23.40,-27.79,-1.13,-22.20,-0.30,-0.15,0.94,-0.23,0.05,0.97,00:00:00:06,
394995926,SMP,1,103.00,90.00,4.04,104.00,94.00,4.44,800.03,383.23,725.60,381.40,887.08,214.02,36.38,-0.56,-23.40,-27.79,-1.13,-22.20,-0.31,-0.15,0.94,-0.22,0.05,0.97,00:00:00:07,
395012598,SMP,1,102.00,90.00,4.00,102.00,94.00,4.50,789.92,405.36,710.51,390.77,872.98,218.88,36.38,-0.56,-23.40,-27.79,-1.13,-22.20,-0.29,-0.16,0.94,-0.21,0.04,0.98,00:00:00:07,
395029175,SMP,1,102.00,93.00,4.02,102.00,96.00,4.44,778.25,417.50,698.38,395.29,862.69,223.62,36.38,-0.56,-23.40,-27.79,-1.13,-22.20,-0.28,-0.16,0.95,-0.20,0.04,0.98,00:00:00:08,
395045968,SMP,1,103.00,93.00,4.02,104.00,96.00,4.58,765.91,433.64,686.47,402.48,850.27,228.50,36.38,-0.56,-23.40,-27.79,-1.13,-22.20,-0.27,-0.17,0.95,-0.19,0.03,0.98,00:00:00:08,
395062595,SMP,1,103.00,92.00,4.00,104.00,96.00,4.56,678.34,278.14,677.15,408.64,841.12,234.67,36.38,-0.56,-23.40,-27.79,-1.13,-22.19,-0.26,-0.18,0.95,-0.18,0.02,0.98,00:00:00:08,
395079178,SMP,1,103.00,94.00,4.02,104.00,98.00,4.50,737.18,451.30,668.98,414.47,829.51,240.54,36.38,-0.56,-23.40,-27.79,-1.13,-22.19,-0.25,-0.19,0.95,-0.17,0.02,0.99,00:00:00:09,
395095840,SMP,1,104.00,95.00,4.04,104.00,98.00,4.54,724.43,458.18,660.36,418.37,821.62,246.75,36.38,-0.56,-23.40,-27.79,-1.13,-22.19,-0.24,-0.19,0.95,-0.16,0.01,0.99,00:00:00:09,
395112498,SMP,1,104.00,93.00,4.02,104.00,96.00,4.56,705.86,461.84,651.99,424.71,810.70,255.74,36.38,-0.56,-23.40,-27.79,-1.13,-22.19,-0.23,-0.20,0.95,-0.15,0.00,0.99,00:00:00:10,
395129093,SMP,1,105.00,95.00,4.02,106.00,98.00,4.60,647.29,301.93,645.28,431.51,806.45,260.47,36.38,-0.56,-23.40,-27.79,-1.13,-22.19,-0.23,-0.21,0.95,-0.15,0.00,0.99,00:00:00:10,
395145792,SMP,1,105.00,96.00,4.04,106.00,100.00,4.56,689.31,486.33,638.61,437.10,798.30,268.87,36.38,-0.56,-23.40,-27.79,-1.13,-22.19,-0.22,-0.21,0.95,-0.14,-0.01,0.99,00:00:00:11,
395162335,SMP,1,106.00,96.00,4.04,108.00,98.00,4.54,634.78,315.84,631.54,443.92,793.40,276.64,36.38,-0.56,-23.40,-27.79,-1.13,-22.19,-0.21,-0.22,0.95,-0.13,-0.02,0.99,00:00:00:11,
395179053,SMP,1,106.00,97.00,4.02,108.00,100.00,4.44,667.08,505.70,626.34,452.66,784.56,288.24,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.20,-0.23,0.95,-0.13,-0.03,0.99,00:00:00:12,
395195578,SMP,1,104.00,95.00,3.96,106.00,98.00,4.44,632.54,328.98,626.91,454.15,792.98,293.67,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.21,-0.23,0.95,-0.13,-0.04,0.99,00:00:00:12,
395212674,SMP,1,102.00,75.00,3.86,102.00,82.00,4.20,650.66,275.94,633.67,397.73,827.38,241.11,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.21,-0.17,0.96,-0.17,0.02,0.99,00:00:00:13,
395228970,SMP,1,51.00,25.00,3.98,0.00,0.00,0.00,653.57,286.87,633.31,317.47,0.00,0.00,36.38,-0.56,-23.40,0.00,0.00,0.00,-0.21,-0.08,0.97,0.00,0.00,0.00,00:00:00:13,
395245603,SMP,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,00:00:00:14,
395262217,SMP,1,97.00,64.00,3.72,98.00,70.00,4.30,649.36,80.56,615.73,232.22,852.08,4.21,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.19,0.02,0.98,-0.17,0.25,0.95,00:00:00:14,
395278883,SMP,1,95.00,64.00,3.54,96.00,64.00,4.22,622.47,49.04,592.38,210.68,819.21,-37.37,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.17,0.04,0.99,-0.13,0.29,0.95,00:00:00:15,
395295453,SMP,1,95.00,60.00,3.40,96.00,60.00,4.10,581.89,34.20,553.83,205.81,772.77,-60.58,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.12,0.04,0.99,-0.09,0.31,0.95,00:00:00:15,
395312032,SMP,1,96.00,59.00,3.40,98.00,58.00,4.16,560.22,29.52,535.36,207.67,745.98,-70.53,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.10,0.04,0.99,-0.06,0.32,0.94,00:00:00:16,
395328703,SMP,1,97.00,59.00,3.40,100.00,60.00,4.24,559.38,35.94,533.66,209.15,745.58,-59.11,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.10,0.04,0.99,-0.06,0.31,0.95,00:00:00:16,
395345284,SMP,1,96.00,60.00,3.40,100.00,60.00,4.24,556.54,40.70,529.01,214.63,744.33,-54.99,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.10,0.03,0.99,-0.06,0.31,0.95,00:00:00:17,
395362082,SMP,1,97.00,60.00,3.40,100.00,60.00,4.20,555.75,44.15,526.62,218.72,745.12,-52.20,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.09,0.03,1.00,-0.06,0.31,0.95,00:00:00:18,
395378699,SMP,1,96.00,61.00,3.40,100.00,62.00,4.22,554.50,47.97,523.51,221.06,745.55,-46.89,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.09,0.03,1.00,-0.06,0.30,0.95,00:00:00:18,
395395271,SMP,1,96.00,60.00,3.38,100.00,60.00,4.20,551.62,51.69,518.86,225.74,744.26,-44.04,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.08,0.02,1.00,-0.06,0.30,0.95,00:00:00:19,
395411949,SMP,1,94.00,60.00,3.40,98.00,60.00,4.22,550.12,52.44,517.72,226.14,742.20,-42.84,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.08,0.02,1.00,-0.06,0.30,0.95,00:00:00:19,
395428530,SMP,1,95.00,60.00,3.36,98.00,60.00,4.18,548.56,53.67,515.69,227.78,740.97,-41.95,36.38,-0.56,-23.40,-27.79,-1.13,-22.18,-0.08,0.02,1.00,-0.06,0.30,0.95,00:00:00:20,
