## [BeGaze]
## Converted from:	D:\Recorded Data\PerformLAB\ForCodeDevelopment 16-09-2015 16 32 35\1-[fce3d509-a71a-4ea9-8201-66241344ec5b]\1-1-recording.idf
## Date:	16.09.2015 16:32:53
## Version:	BeGaze 3.5.90
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1484
## Reversed:	none
## [Run]
## Subject:	1
## Description:	Run001
## [Calibration]
## Calibration Area:	960	720
## [Geometry]
## Stimulus Dimension [mm]:	960	720
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, DIAMETER, POR, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Frame,Aux1
181239251,SMP,1,69.00,49.00,3.34,70.00,54.00,3.42,754.42,-18.77,781.26,-29.54,950.49,101.89,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.27,0.28,0.92,-0.29,0.17,0.94,00:00:00:01,
181255891,SMP,1,70.00,51.00,3.38,72.00,56.00,3.42,747.82,-5.41,772.72,-13.25,944.28,112.66,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.26,0.27,0.93,-0.28,0.16,0.95,00:00:00:01,
181272465,SMP,1,69.00,50.00,3.30,70.00,56.00,3.42,736.95,3.50,759.40,-3.46,933.64,120.96,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.25,0.26,0.93,-0.27,0.15,0.95,00:00:00:02,
181289065,SMP,1,69.00,50.00,3.22,70.00,56.00,3.42,729.32,13.60,752.88,5.86,922.91,132.24,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.25,0.25,0.94,-0.27,0.14,0.95,00:00:00:02,
181305683,SMP,1,69.00,51.00,3.24,70.00,56.00,3.42,721.51,23.97,743.37,19.60,915.18,139.43,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.24,0.24,0.94,-0.26,0.14,0.96,00:00:00:02,
181322316,SMP,1,69.00,50.00,3.20,70.00,56.00,3.42,711.95,32.89,731.51,30.11,906.09,146.95,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.23,0.23,0.94,-0.25,0.13,0.96,00:00:00:03,
181339064,SMP,1,68.00,52.00,3.20,70.00,58.00,3.42,707.28,40.62,728.20,37.12,898.76,155.71,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.23,0.23,0.95,-0.25,0.12,0.96,00:00:00:04,
181355744,SMP,1,68.00,51.00,3.18,70.00,56.00,3.40,699.63,49.42,718.41,48.23,891.83,162.35,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.22,0.22,0.95,-0.24,0.12,0.96,00:00:00:04,
181372359,SMP,1,68.00,51.00,3.10,70.00,56.00,3.36,696.05,63.41,716.62,62.45,885.12,176.63,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.22,0.20,0.95,-0.24,0.10,0.97,00:00:00:04,
181389017,SMP,1,67.00,54.00,3.02,70.00,60.00,3.38,697.38,114.09,726.08,117.05,875.89,225.62,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.23,0.15,0.96,-0.23,0.05,0.97,00:00:00:05,
181405715,SMP,1,68.00,55.00,3.02,70.00,62.00,3.40,688.41,132.28,715.88,134.99,866.01,244.83,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.22,0.13,0.97,-0.23,0.03,0.97,00:00:00:06,
181422236,SMP,1,68.00,54.00,3.02,70.00,58.00,3.36,683.12,134.62,708.93,139.05,861.60,245.34,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.22,0.13,0.97,-0.22,0.03,0.97,00:00:00:06,
181438860,SMP,1,67.00,53.00,2.98,68.00,60.00,3.32,678.44,137.52,703.45,140.64,856.90,249.65,38.52,1.40,-24.81,-25.86,1.80,-27.77,-0.21,0.13,0.97,-0.22,0.03,0.98,00:00:00:06,
181455528,SMP,1,66.00,54.00,2.96,68.00,60.00,3.36,674.95,140.91,698.93,145.59,853.87,251.50,38.52,1.39,-24.81,-25.86,1.80,-27.77,-0.21,0.12,0.97,-0.21,0.03,0.98,00:00:00:07,
181472315,SMP,1,66.00,54.00,2.94,68.00,60.00,3.28,671.09,145.36,694.39,147.91,849.90,258.30,38.52,1.39,-24.81,-25.86,1.80,-27.77,-0.20,0.12,0.97,-0.21,0.02,0.98,00:00:00:08,
181488889,SMP,1,66.00,53.00,2.90,68.00,58.00,3.28,668.85,149.58,690.92,152.41,848.46,262.42,38.52,1.39,-24.81,-25.86,1.80,-27.77,-0.20,0.11,0.97,-0.21,0.01,0.98,00:00:00:08,
181505501,SMP,1,64.00,53.00,2.84,66.00,60.00,3.24,666.72,154.53,687.59,158.48,847.13,266.42,38.52,1.39,-24.81,-25.86,1.80,-27.77,-0.20,0.11,0.97,-0.21,0.01,0.98,00:00:00:08,
181522137,SMP,1,64.00,52.00,2.80,66.00,58.00,3.20,663.96,159.15,683.82,162.17,844.84,272.20,38.52,1.39,-24.80,-25.86,1.80,-27.77,-0.19,0.10,0.98,-0.21,0.00,0.98,00:00:00:09,
181538753,SMP,1,62.00,52.00,2.80,64.00,58.00,3.18,661.53,161.79,681.60,164.33,841.68,275.42,38.52,1.39,-24.80,-25.86,1.80,-27.77,-0.19,0.10,0.98,-0.20,0.00,0.98,00:00:00:09,
181555394,SMP,1,63.00,53.00,2.80,66.00,58.00,3.18,659.39,164.60,679.00,166.86,839.60,278.61,38.52,1.39,-24.80,-25.86,1.80,-27.77,-0.19,0.10,0.98,-0.20,0.00,0.98,00:00:00:10,
181572003,SMP,1,64.00,54.00,2.80,66.00,60.00,3.18,656.70,167.56,674.77,171.11,838.08,280.33,38.52,1.39,-24.80,-25.86,1.80,-27.77,-0.18,0.09,0.98,-0.20,-0.01,0.98,00:00:00:10,
181588624,SMP,1,63.00,51.00,2.78,64.00,56.00,3.12,649.57,169.64,667.48,173.51,829.99,281.93,38.52,1.39,-24.80,-25.86,1.80,-27.77,-0.18,0.09,0.98,-0.19,-0.01,0.98,00:00:00:10,
