Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Frame,Aux1
255955300,SMP,1,106.00,100.00,4.72,102.00,92.00,4.04,461.74,1128.47,652.40,1099.18,584.15,1168.60,35.26,3.81,-26.06,-26.27,2.21,-25.87,-0.03,-0.81,0.59,0.07,-0.74,0.67,00:00:00:01,
255988282,SMP,1,60.00,26.00,0.00,120.00,52.00,4.42,371.94,1079.15,0.00,0.00,527.30,1193.24,0.00,0.00,0.00,-26.27,2.21,-25.87,0.00,0.00,0.00,0.12,-0.75,0.65,00:00:00:02,
256004911,SMP,1,61.00,42.00,0.00,122.00,84.00,5.16,371.94,1079.15,0.00,0.00,527.30,1193.24,0.00,0.00,0.00,-26.27,2.21,-25.87,0.00,0.00,0.00,0.12,-0.75,0.65,00:00:00:02,
256021537,SMP,1,106.00,98.00,4.68,102.00,92.00,4.06,459.67,1129.66,649.27,1098.68,582.80,1171.72,35.26,3.81,-26.06,-26.27,2.21,-25.87,-0.03,-0.81,0.59,0.07,-0.74,0.67,00:00:00:03,
256038206,SMP,1,106.00,93.00,4.72,102.00,82.00,4.40,436.66,1143.45,651.60,1100.69,535.42,1191.70,35.26,3.81,-26.06,-26.27,2.21,-25.87,-0.03,-0.81,0.59,0.11,-0.75,0.65,00:00:00:03,
256054797,SMP,1,106.00,100.00,4.70,102.00,92.00,4.04,459.38,1127.88,647.05,1097.07,584.07,1170.39,35.26,3.81,-26.06,-26.27,2.21,-25.87,-0.03,-0.80,0.59,0.07,-0.74,0.67,00:00:00:04,
256071450,SMP,1,51.00,46.00,0.00,102.00,92.00,4.04,428.87,1051.79,0.00,0.00,583.47,1171.89,0.00,0.00,0.00,-26.27,2.21,-25.87,0.00,0.00,0.00,0.07,-0.74,0.67,00:00:00:04,
256088314,SMP,1,51.00,46.00,0.00,102.00,92.00,4.04,429.12,1051.38,0.00,0.00,583.71,1171.49,0.00,0.00,0.00,-26.27,2.21,-25.87,0.00,0.00,0.00,0.07,-0.74,0.67,00:00:00:05,
256104697,SMP,1,106.00,100.00,4.80,102.00,92.00,4.04,462.86,1124.15,654.13,1091.02,584.19,1170.61,35.26,3.81,-26.06,-26.27,2.21,-25.87,-0.03,-0.80,0.60,0.07,-0.74,0.67,00:00:00:05,
256121836,SMP,1,51.00,45.00,0.00,102.00,90.00,4.02,431.83,1054.26,0.00,0.00,586.45,1174.94,0.00,0.00,0.00,-26.27,2.21,-25.87,0.00,0.00,0.00,0.07,-0.74,0.67,00:00:00:06,
