Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Frame,Aux1
206101877,SMP,1,105.00,102.00,5.00,102.00,100.00,4.30,409.82,438.70,498.26,459.14,486.54,521.14,35.33,3.63,-24.62,-26.37,0.82,-25.70,0.01,-0.26,0.97,0.16,-0.25,0.96,00:00:00:01,
206118506,SMP,1,105.00,102.00,5.02,102.00,100.00,4.28,409.95,438.61,498.04,459.23,487.02,520.89,35.33,3.63,-24.62,-26.37,0.82,-25.70,0.01,-0.26,0.97,0.15,-0.24,0.96,00:00:00:02,
206135121,SMP,1,105.00,102.00,5.02,102.00,100.00,4.30,411.14,439.37,500.50,459.77,487.17,521.46,35.33,3.63,-24.62,-26.37,0.82,-25.70,0.01,-0.26,0.97,0.15,-0.25,0.96,00:00:00:02,
206151748,SMP,1,105.00,102.00,5.00,102.00,100.00,4.30,408.11,438.60,496.34,459.01,484.82,521.40,35.33,3.63,-24.62,-26.37,0.82,-25.70,0.01,-0.26,0.97,0.16,-0.25,0.96,00:00:00:02,
206168885,SMP,1,105.00,102.00,4.96,102.00,100.00,4.28,407.87,439.17,495.07,460.56,485.56,521.11,35.33,3.63,-24.62,-26.37,0.82,-25.70,0.01,-0.26,0.97,0.16,-0.25,0.96,00:00:00:03,
206184996,SMP,1,106.00,102.00,4.94,104.00,100.00,4.28,406.48,437.04,494.15,456.71,483.49,521.05,35.33,3.64,-24.62,-26.37,0.82,-25.70,0.01,-0.26,0.97,0.16,-0.24,0.96,00:00:00:04,
206201935,SMP,1,106.00,102.00,5.00,104.00,100.00,4.30,406.35,438.26,494.06,459.11,483.36,521.05,35.33,3.64,-24.62,-26.37,0.82,-25.70,0.01,-0.26,0.97,0.16,-0.24,0.96,00:00:00:04,
206218496,SMP,1,106.00,102.00,5.00,104.00,100.00,4.30,404.87,438.44,492.36,459.85,481.92,520.95,35.33,3.64,-24.62,-26.37,0.82,-25.70,0.02,-0.26,0.97,0.16,-0.24,0.96,00:00:00:05,
206235018,SMP,1,106.00,103.00,4.96,104.00,102.00,4.30,404.29,438.83,491.87,460.39,481.20,521.26,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.97,0.16,-0.24,0.96,00:00:00:05,
206251761,SMP,1,105.00,102.00,4.96,102.00,100.00,4.28,404.45,440.40,491.63,461.61,481.77,523.04,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.96,0.16,-0.25,0.96,00:00:00:06,
206268244,SMP,1,106.00,103.00,4.98,104.00,102.00,4.32,403.05,439.25,489.29,460.70,481.08,522.10,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.97,0.16,-0.25,0.96,00:00:00:06,
206284885,SMP,1,105.00,102.00,4.96,102.00,100.00,4.28,404.44,441.20,491.50,462.18,481.90,524.01,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.96,0.16,-0.25,0.96,00:00:00:06,
206301903,SMP,1,106.00,103.00,5.02,104.00,102.00,4.30,404.38,441.69,491.71,463.22,481.59,523.91,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.96,0.16,-0.25,0.96,00:00:00:07,
206318153,SMP,1,105.00,103.00,4.96,102.00,102.00,4.28,404.44,441.04,491.77,461.77,481.62,524.09,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.96,0.16,-0.25,0.96,00:00:00:07,
206335472,SMP,1,105.00,103.00,5.00,102.00,102.00,4.30,404.15,440.36,491.31,461.96,481.46,522.69,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.96,0.16,-0.25,0.96,00:00:00:08,
206351425,SMP,1,105.00,103.00,4.98,102.00,102.00,4.30,402.75,439.65,489.60,459.57,480.16,523.96,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.97,0.16,-0.25,0.96,00:00:00:08,
206368394,SMP,1,106.00,103.00,5.00,104.00,102.00,4.36,404.11,440.74,490.87,461.30,481.79,524.10,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.97,0.16,-0.25,0.96,00:00:00:09,
206384832,SMP,1,106.00,103.00,4.98,104.00,102.00,4.36,403.36,441.33,491.36,462.71,479.81,523.87,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.96,0.16,-0.25,0.96,00:00:00:09,
206401460,SMP,1,105.00,103.00,4.94,102.00,102.00,4.30,402.65,441.79,488.37,462.14,481.15,525.62,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.26,0.96,0.16,-0.25,0.95,00:00:00:10,
206418025,SMP,1,105.00,102.00,4.90,102.00,100.00,4.26,404.53,444.29,491.68,464.45,481.94,527.62,35.33,3.64,-24.63,-26.37,0.82,-25.70,0.02,-0.27,0.96,0.16,-0.25,0.95,00:00:00:10,
