Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Frame,Aux1
490770658,SMP,1,113.00,99.00,5.74,110.00,94.00,4.64,488.34,363.61,552.60,382.58,571.34,402.06,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.04,-0.16,0.99,00:00:00:01,
490802435,SMP,1,112.00,99.00,5.72,110.00,94.00,4.64,485.87,364.23,549.92,385.48,568.33,400.85,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.04,-0.16,0.99,00:00:00:02,
490819411,SMP,1,113.00,100.00,5.72,110.00,96.00,4.66,486.33,365.50,551.38,386.06,567.88,402.48,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.04,-0.16,0.99,00:00:00:03,
490835677,SMP,1,113.00,99.00,5.68,110.00,94.00,4.64,485.32,365.74,548.78,385.23,568.40,404.20,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.04,-0.17,0.99,00:00:00:03,
490852345,SMP,1,113.00,100.00,5.70,110.00,96.00,4.66,483.85,366.87,547.70,386.85,566.13,405.01,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.04,-0.17,0.99,00:00:00:04,
490868770,SMP,1,113.00,100.00,5.78,110.00,96.00,4.66,485.56,367.42,551.00,386.91,566.59,405.45,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.04,-0.17,0.99,00:00:00:04,
490885644,SMP,1,113.00,100.00,5.68,110.00,96.00,4.64,483.79,368.26,547.38,388.11,566.27,406.46,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.04,-0.17,0.98,00:00:00:05,
490902040,SMP,1,113.00,100.00,5.72,110.00,96.00,4.68,483.58,367.31,547.33,388.04,565.81,404.72,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.05,-0.17,0.99,00:00:00:05,
490918850,SMP,1,113.00,100.00,5.72,110.00,96.00,4.66,483.21,368.33,546.85,388.64,565.49,406.17,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.05,-0.17,0.98,00:00:00:06,
490935448,SMP,1,113.00,100.00,5.72,110.00,96.00,4.64,483.13,369.35,546.76,388.73,565.45,408.08,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.05,-0.17,0.98,00:00:00:06,
490952200,SMP,1,113.00,99.00,5.72,110.00,94.00,4.64,482.78,368.17,545.81,387.73,565.68,406.95,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.18,0.98,0.05,-0.17,0.98,00:00:00:07,
490969137,SMP,1,113.00,98.00,5.70,110.00,94.00,4.64,482.30,370.58,546.70,391.23,563.49,407.98,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.05,-0.17,0.98,00:00:00:08,
490985389,SMP,1,113.00,99.00,5.68,110.00,94.00,4.64,482.56,370.81,545.24,390.96,565.57,408.87,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.05,-0.17,0.98,00:00:00:08,
491001936,SMP,1,113.00,99.00,5.72,110.00,94.00,4.62,482.85,371.55,546.08,391.45,565.35,409.68,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.05,-0.17,0.98,00:00:00:09,
491018660,SMP,1,113.00,100.00,5.70,110.00,96.00,4.66,483.80,373.03,546.68,393.24,566.72,410.57,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.04,-0.17,0.98,00:00:00:09,
491035083,SMP,1,113.00,100.00,5.74,110.00,96.00,4.66,485.22,373.06,548.58,391.89,568.08,411.65,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.04,-0.17,0.98,00:00:00:10,
491052038,SMP,1,113.00,100.00,5.70,110.00,96.00,4.66,485.33,374.02,549.26,393.12,567.56,412.17,34.56,4.81,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.04,-0.17,0.98,00:00:00:10,
491068483,SMP,1,115.00,100.00,5.68,112.00,96.00,4.70,486.98,376.01,551.79,394.78,568.56,413.86,34.56,4.82,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.04,-0.18,0.98,00:00:00:10,
491085208,SMP,1,114.00,100.00,5.74,112.00,96.00,4.68,487.88,374.52,551.42,392.57,571.05,413.21,34.56,4.82,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.04,-0.18,0.98,00:00:00:11,
491101692,SMP,1,114.00,100.00,5.70,112.00,96.00,4.64,488.17,376.24,552.00,393.85,571.06,415.14,34.56,4.82,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.04,-0.18,0.98,00:00:00:11,
491118953,SMP,1,114.00,100.00,5.72,112.00,96.00,4.64,488.32,375.06,552.71,392.44,570.77,414.18,34.56,4.82,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.04,-0.18,0.98,00:00:00:12,
491135131,SMP,1,114.00,100.00,5.68,112.00,96.00,4.66,489.26,377.46,553.53,395.81,571.77,415.24,34.56,4.82,-27.39,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.04,-0.18,0.98,00:00:00:12,
491151617,SMP,1,115.00,100.00,5.70,112.00,96.00,4.70,488.89,377.34,553.63,395.74,570.86,415.10,34.56,4.82,-27.40,-27.31,1.87,-25.83,-0.05,-0.19,0.98,0.04,-0.18,0.98,00:00:00:13,
491168371,SMP,1,113.00,100.00,5.70,110.00,96.00,4.66,486.42,378.32,550.87,397.17,568.12,416.08,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.05,-0.20,0.98,0.04,-0.18,0.98,00:00:00:13,
491184812,SMP,1,113.00,100.00,5.72,110.00,96.00,4.66,485.54,378.05,548.16,396.57,568.96,416.60,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.05,-0.19,0.98,0.04,-0.18,0.98,00:00:00:14,
491201712,SMP,1,113.00,100.00,5.68,110.00,96.00,4.64,484.70,378.81,547.38,398.08,567.78,416.69,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.05,-0.20,0.98,0.04,-0.18,0.98,00:00:00:14,
491219658,SMP,1,113.00,101.00,5.70,110.00,96.00,4.64,483.20,380.86,545.72,401.03,565.98,417.99,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.05,-0.20,0.98,0.05,-0.18,0.98,00:00:00:15,
491252197,SMP,1,115.00,100.00,5.68,112.00,96.00,4.62,480.26,379.82,543.58,398.57,561.89,418.97,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.04,-0.20,0.98,0.05,-0.18,0.98,00:00:00:16,
491268466,SMP,1,112.00,100.00,5.66,110.00,96.00,4.64,480.11,380.77,543.48,401.09,561.45,418.28,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.04,-0.20,0.98,0.05,-0.18,0.98,00:00:00:16,
491284966,SMP,1,113.00,101.00,5.68,110.00,98.00,4.66,477.85,378.75,538.77,397.80,561.51,418.51,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.04,-0.19,0.98,0.05,-0.18,0.98,00:00:00:17,
491301466,SMP,1,113.00,100.00,5.72,110.00,96.00,4.62,478.55,378.24,542.55,396.89,559.30,417.87,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.04,-0.19,0.98,0.05,-0.18,0.98,00:00:00:17,
491318244,SMP,1,114.00,100.00,5.66,112.00,96.00,4.70,474.09,378.08,537.30,398.81,554.59,416.65,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.04,-0.19,0.98,0.06,-0.18,0.98,00:00:00:18,
491334706,SMP,1,114.00,100.00,5.74,112.00,96.00,4.64,474.69,377.23,539.17,396.89,554.18,416.67,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.04,-0.19,0.98,0.06,-0.18,0.98,00:00:00:18,
491351417,SMP,1,113.00,100.00,5.72,110.00,96.00,4.66,473.19,375.64,536.95,396.31,553.12,414.58,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.04,-0.19,0.98,0.06,-0.18,0.98,00:00:00:19,
491368001,SMP,1,112.00,100.00,5.68,110.00,96.00,4.66,471.59,376.01,535.25,397.10,551.27,414.84,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.04,-0.19,0.98,0.06,-0.18,0.98,00:00:00:20,
491384850,SMP,1,113.00,100.00,5.68,110.00,96.00,4.66,469.58,375.38,533.23,396.22,548.96,414.94,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.03,-0.19,0.98,0.06,-0.18,0.98,00:00:00:20,
491401377,SMP,1,113.00,100.00,5.68,110.00,96.00,4.68,468.31,373.92,530.68,396.42,548.67,412.35,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.03,-0.19,0.98,0.06,-0.17,0.98,00:00:00:21,
491417877,SMP,1,113.00,100.00,5.68,110.00,96.00,4.64,469.57,375.38,534.09,396.91,548.01,414.12,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.03,-0.19,0.98,0.06,-0.18,0.98,00:00:00:21,
491434504,SMP,1,113.00,100.00,5.70,110.00,96.00,4.66,467.90,372.11,530.20,394.11,548.40,411.29,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.03,-0.19,0.98,0.06,-0.17,0.98,00:00:00:22,
491451051,SMP,1,113.00,100.00,5.70,110.00,96.00,4.66,469.71,372.76,532.10,394.72,550.41,411.55,34.56,4.82,-27.40,-27.31,1.88,-25.83,-0.03,-0.19,0.98,0.06,-0.17,0.98,00:00:00:22,
