Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Frame,Aux1
424263079,SMP,1,95.00,77.00,4.26,94.00,78.00,3.70,752.59,492.27,867.74,181.95,853.29,350.42,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.28,0.91,-0.26,-0.21,0.94,00:00:00:01,
424280172,SMP,1,95.00,78.00,4.14,96.00,78.00,3.66,757.64,496.95,874.41,185.22,854.34,348.46,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.29,0.91,-0.26,-0.21,0.94,00:00:00:01,
424296255,SMP,1,96.00,77.00,4.14,96.00,78.00,3.66,753.49,484.40,876.72,179.40,851.81,348.47,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.28,0.91,-0.25,-0.21,0.95,00:00:00:02,
424312863,SMP,1,96.00,80.00,4.16,96.00,80.00,3.72,751.71,493.59,873.37,186.91,848.39,352.06,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.29,0.91,-0.25,-0.21,0.95,00:00:00:02,
424329629,SMP,1,96.00,79.00,4.14,96.00,80.00,3.74,751.85,483.96,876.40,180.37,850.50,350.98,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.28,0.91,-0.25,-0.21,0.94,00:00:00:03,
424346311,SMP,1,96.00,79.00,4.14,96.00,80.00,3.76,750.55,489.61,873.48,184.75,848.44,352.73,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.29,0.91,-0.25,-0.21,0.94,00:00:00:03,
424363207,SMP,1,96.00,81.00,4.26,96.00,82.00,3.78,749.09,484.88,870.12,179.64,848.69,348.95,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.28,0.91,-0.25,-0.21,0.95,00:00:00:04,
424379499,SMP,1,96.00,80.00,4.26,96.00,80.00,3.76,750.17,488.47,870.09,181.63,848.74,348.61,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.28,0.91,-0.25,-0.21,0.95,00:00:00:04,
424396142,SMP,1,97.00,81.00,4.36,98.00,80.00,3.74,749.18,493.23,864.90,182.99,847.93,348.07,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.29,-0.28,0.91,-0.25,-0.21,0.95,00:00:00:05,
424412771,SMP,1,97.00,81.00,4.32,98.00,82.00,3.74,753.29,502.47,865.87,187.14,849.31,347.41,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.29,-0.29,0.91,-0.25,-0.20,0.95,00:00:00:05,
424429866,SMP,1,98.00,80.00,4.22,98.00,80.00,3.76,752.14,496.97,872.33,188.59,847.99,351.53,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.29,0.91,-0.25,-0.21,0.95,00:00:00:06,
424446023,SMP,1,98.00,81.00,4.38,98.00,82.00,3.78,752.00,491.47,869.72,182.95,851.51,350.48,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.28,0.91,-0.25,-0.21,0.94,00:00:00:06,
424462740,SMP,1,98.00,81.00,4.36,98.00,80.00,3.72,755.34,496.40,871.44,184.33,851.79,346.61,34.35,-0.33,-20.27,-28.28,-0.47,-21.44,-0.30,-0.29,0.91,-0.25,-0.20,0.95,00:00:00:07,
