Time,Type,Trial,L Dia X [px],L Dia Y [px],L Pupil Diameter [mm],R Dia X [px],R Dia Y [px],R Pupil Diameter [mm],B POR X [px],B POR Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Frame,Aux1
162595301,SMP,1,110.00,99.00,5.60,98.00,88.00,4.18,470.31,393.82,557.04,384.35,552.87,412.33,35.68,2.72,-25.91,-26.08,1.08,-26.60,-0.02,-0.24,0.97,0.05,-0.17,0.98,00:00:00:01,
162611311,SMP,1,110.00,98.00,5.58,98.00,88.00,4.18,469.33,391.28,555.78,380.40,551.88,410.92,35.68,2.72,-25.91,-26.09,1.08,-26.60,-0.02,-0.23,0.97,0.05,-0.17,0.98,00:00:00:02,
162627944,SMP,1,109.00,97.00,5.58,96.00,86.00,4.16,470.35,389.71,557.97,378.74,551.65,409.11,35.68,2.72,-25.91,-26.09,1.08,-26.59,-0.03,-0.23,0.97,0.05,-0.17,0.98,00:00:00:02,
162644592,SMP,1,109.00,97.00,5.58,96.00,86.00,4.14,470.87,387.76,558.27,377.06,552.22,406.74,35.68,2.72,-25.91,-26.09,1.08,-26.59,-0.03,-0.23,0.97,0.05,-0.16,0.99,00:00:00:03,
162661136,SMP,1,109.00,97.00,5.54,96.00,88.00,4.12,470.63,384.55,557.06,374.16,552.59,403.09,35.68,2.72,-25.91,-26.09,1.08,-26.59,-0.03,-0.23,0.97,0.05,-0.16,0.99,00:00:00:03,
162678308,SMP,1,108.00,96.00,5.50,96.00,86.00,4.16,469.86,382.85,556.84,372.16,551.10,401.59,35.68,2.72,-25.91,-26.09,1.08,-26.59,-0.03,-0.22,0.97,0.05,-0.16,0.99,00:00:00:04,
162694618,SMP,1,108.00,97.00,5.52,96.00,86.00,4.10,470.45,380.80,555.73,370.19,553.16,399.33,35.68,2.72,-25.91,-26.09,1.08,-26.59,-0.02,-0.22,0.97,0.05,-0.16,0.99,00:00:00:04,
162711371,SMP,1,108.00,96.00,5.50,96.00,86.00,4.06,470.64,378.97,556.64,366.80,552.49,398.60,35.68,2.72,-25.91,-26.09,1.08,-26.59,-0.03,-0.22,0.98,0.05,-0.15,0.99,00:00:00:05,
162727772,SMP,1,108.00,95.00,5.50,96.00,84.00,4.02,470.82,376.41,557.04,363.91,552.21,396.08,35.68,2.72,-25.91,-26.09,1.08,-26.59,-0.03,-0.22,0.98,0.05,-0.15,0.99,00:00:00:05,
162744800,SMP,1,108.00,95.00,5.46,96.00,84.00,4.02,470.56,374.77,556.06,362.75,552.47,393.98,35.68,2.72,-25.91,-26.09,1.08,-26.59,-0.02,-0.22,0.98,0.05,-0.15,0.99,00:00:00:06,
